"0005"!#""!#"0005__15006"!#"4"!#"2"!#"NATURELLEMENT BALLAIN"!#"COLLECTIFS ACCESSION 30 LOTS"!#"24"!#"4"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202203"!#"0"!#"0"!#"202001"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15038"!#"2"!#"3"!#"TRANCHE 2 - 76 LOTS"!#"TRANCHE 2 - 76 LOTS - COLLEC/INT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201404"!#"0"!#"0"!#"201206"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15038"!#"5"!#"3"!#"TRANCHE 5 - 14 LOTS - INT"!#"TRANCHE 5 - 14 LOTS - INT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201501"!#"0"!#"0"!#"201210"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15054"!#"2"!#"2"!#"COEUR DE VILLE"!#"35 APPTS COLL ACC - OUEST"!#"24"!#"1"!#",00"!#"1964,00"!#"0"!#"0"!#"0"!#"201603"!#"0"!#"0"!#"201407"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15070"!#"3"!#"2"!#"ACCESSION BATIMENT 200/300"!#"ACCESSION BATIMENT 200/300"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201906"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15118"!#"4"!#"2"!#"3 LOTS SUPP COLL ACC"!#"3 LOTS SUPP COLL ACCESS"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202203"!#"0"!#"0"!#"201909"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15131"!#"1"!#"2"!#"LE CLOS DU VAL"!#"55 LOTS"!#"24"!#"6"!#",00"!#"2593,00"!#"0"!#"0"!#"0"!#"202202"!#"0"!#"0"!#"201812"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15151"!#"4"!#"2"!#"NOUVEL AIR"!#"BAT 4 ACC 30"!#"20"!#"11"!#"5086000,00"!#"1656,00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15151"!#"5"!#"2"!#"NOUVEL AIR"!#"BÂT 5 ACC 27"!#"20"!#"1"!#",00"!#"1447,00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"201903"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15168"!#"5"!#"2"!#"LINAS"!#"ACCESSION 6 & 7"!#"24"!#"7"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202201"!#"0"!#"0"!#"201910"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
